ebay_id,td_id,c4c_id,car_fuel,car_nb_shift,car_desc,car_trans,car_trim,car_version,car_plat,car_d_from,car_d_to,car_y_from,car_y_to,car_ranking,car_mark,car_name,car_doors,car_chassis,car_model_y_from,car_model_y_to,car_code,car_engine_desc,car_aspi,car_alim,car_name_cyl,car_valve,car_kw,car_cv,car_disp,car_cyl,car_nb_cyl,car_type,car_image,car_date_add,car_url,car_user,car_method,car_valid,car_comment
car_ebayID,car_tdID,42800,car_fuel,car_nbShift,car_desc,car_trans,car_trim,car_version,car_plat,car_YFrom,car_YTo,car_year,,ABC_ranking,model_mark,model_name,model_doors,model_chassis,model_YFrom,model_YTo,engine_code,engine_desc,engine_aspi,engine_alim,engine_nameCyl,engine_valve,engine_KW,engine_CV,engine_disp,,engine_nbCyl,engine_type,,,info_URL,info_user,info_method,info_valid,info_comment
228498181,27922,39283,,,,,,2.1 D,P6,01/07/1980,01/04/1985,1980,1985,,Renault,Trafic Camion Plate-Forme/Châssis,,,,,,,,,,,43 KW,58 PS,,2068.0,,,,,,Jerome,Ebay,True,
228499011,1977,39285,,,,,,0.8,122,01/01/1982,01/12/1984,1982,1984,,Renault,5,,,,,,,,,,,27 KW,37 PS,,845.0,,,,,,Jerome,Ebay,C4C_updated,C4C_41566
228499651,12595,39286,,,,,,1.2,S06,01/03/1993,01/05/1996,1993,1996,,Renault,Twingo I Camionnette - 3/5 Portes,,,,,,,,,,,40 KW,55 PS,,1239.0,,,,,,Jerome,Ebay,True,
228499671,5644,39287,,,,,,2.5 20V,B54,01/07/1996,01/12/2000,1996,2000,,Renault,Safrane II,,,,,,,,,,,121 KW,165 PS,,2435.0,,,,,,Jerome,Ebay,C4C updated,C4C_40233
228502481,59916,39288,,,,,,1.4,B/C53,01/10/1996,01/06/2001,1996,2001,,Renault,19 II,,,,,,,,,,,60 KW,82 PS,,1390.0,,,,,,Jerome,Ebay,True,
228504051,28307,39289,,,,,,1.7,B/C53,01/05/1992,01/09/1994,1992,1994,,Renault,19 II,,,,,,,,,,,79 KW,107 PS,,1721.0,,,,,,Jerome,Ebay,True,
228505451,23508,39290,,,,,,1.4,"F40, G40",01/09/1991,01/08/1997,1991,1997,,Renault,Rapid Camionnette/Monospace,,,,,,,,,,,43 KW,58 PS,,1390.0,,,,,,Jerome,Ebay,True,
228505491,3758,39291,,,,,,1.4,B/C53,01/01/1992,01/12/1995,1992,1995,,Renault,19 II,,,,,,,,,,,55 KW,75 PS,,1390.0,,,,,,Jerome,Ebay,True,
228505821,8682,39292,,,,,,1.4,B/C53,01/01/1988,01/12/1992,1988,1992,,Renault,19 I,,,,,,,,,,,59 KW,80 PS,,1390.0,,,,,,Jerome,Ebay,True,
228505891,15431,39293,,,,,,2.0 16V,"FA0, JA0/1",01/07/2000,01/08/2003,2000,2003,,Renault,Scénic I Monospace,,,,,,,,,,,102 KW,139 PS,4.1L,1998.0,,,,,,Jerome,Ebay,True,
228506791,12532,39294,,,,,,1.0,S40,01/10/1984,01/10/1988,1984,1988,,Renault,Super 5 Camionnette - 3/5 Portes,,,,,,,,,,,30 KW,41 PS,3.2L,956.0,,,,,,Jerome,Ebay,True,
228507221,17854,39295,,,,,,1.4,"5/357, B/C57",01/01/1991,01/09/1998,1991,1998,,Renault,Clio I,,,,,,,,,,,55 KW,75 PS,,1390.0,,,,,,Jerome,Ebay,C4C updated,
228507301,1987,39296,,,,,,1.4 Alpine A5,122,01/09/1977,01/09/1981,1977,1981,,Renault,5,,,,,,,,,,,68 KW,93 PS,,1397.0,,,,,,Jerome,Ebay,C4C_updated,C4C_41587
228507511,109398,39297,,,,,,0.9,--,01/03/1956,01/03/1967,1956,1967,,Renault,Dauphine,,,,,,,,,,,20 KW,27 PS,,840.0,,,,,,Jerome,Ebay,True,
